timestamp,ax,ay,az,gx,gy,gz
198088,0.3035,0.0307,-0.9565,-0.9800,-5.7400,0.6300
198131,0.3050,0.0298,-0.9682,-0.1400,-3.8500,1.3300
198174,0.3113,0.0244,-0.9667,-0.9100,-4.9000,0.4900
198217,0.3050,0.0303,-0.9799,-1.0500,-3.2900,0.5600
198260,0.3089,0.0244,-0.9643,-1.8900,-4.7600,-0.6300
198303,0.3055,0.0298,-0.9584,-0.8400,-3.2200,-1.0500
198347,0.2977,0.0371,-0.9682,0.0700,-4.2000,0.0700
198390,0.2938,0.0249,-0.9672,-1.3300,-4.9700,-1.6100
198433,0.2996,0.0351,-0.9711,-1.4700,-3.6400,0.9800
198476,0.3026,0.0312,-0.9731,-1.1200,-5.0400,-0.1400
198519,0.3079,0.0361,-0.9706,-2.3100,-5.0400,0.8400
198562,0.3084,0.0293,-0.9726,-0.9800,-3.7100,0.1400
198605,0.3045,0.0342,-0.9711,-1.8900,-4.2700,-0.7700
198648,0.3030,0.0366,-0.9740,-2.1700,-3.7100,0.0700
198691,0.3060,0.0356,-0.9770,-2.6600,-1.9600,-1.1900
198734,0.3045,0.0395,-0.9843,-3.5000,-3.2900,-2.8700
198777,0.3074,0.0337,-0.9848,-4.4100,-0.0700,-3.6400
198820,0.3123,0.0429,-0.9848,-7.3500,-1.7500,-7.4900
198864,0.3109,0.0508,-0.9687,-8.4700,-0.2100,-6.5100
198907,0.3201,0.0581,-0.9614,-4.4800,2.5200,-3.7100
198950,0.3387,0.0581,-0.9213,-6.5800,0.2100,-8.4000
198994,0.3226,0.0747,-0.9355,-1.9600,-1.6800,0.7000
199038,0.3192,0.0547,-0.9418,-5.3900,-0.7000,-3.2200
199081,0.3221,0.0756,-0.9706,11.2000,-4.2000,-6.5800
199124,0.3167,0.0878,-0.9775,2.9400,-3.0100,-2.8000
199166,0.3338,0.1064,-0.9706,4.6900,-1.0500,-2.7300
199209,0.3338,0.0488,-0.9492,-1.1900,-0.7000,-1.3300
199252,0.3362,0.0551,-0.9462,-0.2100,1.8900,-2.7300
199295,0.3343,0.0669,-0.9599,0.0700,17.7100,-1.8200
199339,0.3357,0.0590,-0.9506,-0.4200,0.2800,-2.8000
199382,0.3406,0.0620,-0.9482,-5.0400,3.2200,-2.5200
199425,0.3372,0.0669,-0.9360,-4.8300,2.8000,-2.3100
199468,0.3406,0.0727,-0.9409,-2.5200,0.2100,-5.3900
199511,0.3514,0.0864,-0.9492,-8.4000,3.5000,-1.7500
199554,0.3587,0.0752,-0.9482,-0.7000,-0.0700,-3.5700
199597,0.3660,0.0781,-0.9345,-4.7600,1.4700,-3.9200
199640,0.3587,0.0976,-0.9331,3.5700,-0.0700,-4.5500
199683,0.3572,0.0874,-0.9579,5.1100,-1.5400,-3.8500
199726,0.3640,0.0903,-0.9453,0.7000,-0.3500,-3.2900
199769,0.3704,0.0791,-0.9331,-0.7000,2.1700,-2.6600
199812,0.3719,0.0888,-0.9540,0.2100,0.3500,-2.2400
199855,0.3684,0.0825,-0.9448,2.1700,1.6100,-2.1000
199898,0.3787,0.0747,-0.9296,1.5400,3.0800,-2.0300
199941,0.3880,0.0747,-0.9394,-3.4300,3.4300,-2.7300
