timestamp,ax,ay,az,gx,gy,gz
108184,0.9277,0.0937,-0.3192,103.1100,39.8300,-34.1600
108227,0.9301,-0.0088,-0.5046,99.7500,67.6200,-40.3900
108270,1.0575,0.0752,-0.2386,20.5800,30.3800,20.7200
108313,1.0019,-0.0464,-0.3284,-14.9800,-52.4300,19.8100
108356,1.0472,0.0181,-0.2908,-63.2100,-33.2500,-8.9600
108399,1.0487,0.0834,-0.3470,-153.5100,-97.3700,18.9000
108442,0.9565,-0.0371,-0.3670,4.5500,-81.9000,35.1400
108485,0.4372,0.1469,-1.2854,152.8800,16.1700,35.5600
108528,1.0546,-0.3309,-0.8032,-125.3000,22.4000,32.9700
108571,1.1117,-0.5734,-0.6202,-119.4200,37.8000,21.3500
108615,0.7559,0.1191,-1.0390,-41.8600,3.8500,119.7000
108658,1.1058,0.0908,0.4582,4.2000,-135.4500,61.8800
108701,1.0209,-0.3118,-0.8389,159.5300,159.0400,-55.5800
108744,0.8760,-0.4089,-0.6837,-112.8400,111.0900,32.8300
108787,0.8999,-0.0644,-0.0190,-13.8600,-41.4400,66.5700
108830,0.7081,-0.1606,-0.7974,20.8600,-25.7600,21.3500
108873,1.1268,-0.2015,0.2684,-76.7200,-35.5600,7.0000
108916,0.7115,-0.1449,-0.9023,73.4300,72.4500,-18.4100
108959,0.9218,-0.3094,-0.1430,-73.0100,-46.8300,8.8900
109002,0.9926,-0.2001,-0.4060,51.1700,-36.1900,-10.2900
109045,0.9287,-0.1396,-0.5065,-71.9600,19.9500,23.9400
109088,1.0189,-0.1591,0.0102,-20.6500,-35.2800,13.7900
109131,0.8247,-0.3172,-0.8686,34.3700,43.3300,1.8200
109174,1.0048,-0.1357,0.2328,-97.7200,-55.8600,39.4100
109217,0.7681,-0.1547,-0.7457,41.3000,23.8700,3.4300
109260,0.9648,-0.3367,-0.2664,-44.4500,16.4500,2.8000
109303,0.8696,-0.1030,-0.3577,19.3200,-23.5200,12.6000
109346,0.8433,-0.1850,-0.6442,-21.7700,33.1800,-1.8900
109390,1.1004,-0.3572,-0.0054,14.0700,-36.7500,-5.8800
109433,0.8169,-0.3104,-0.8452,16.6600,29.0500,4.1300
109477,0.8511,-0.2264,-0.3226,12.1800,-22.4000,11.4800
109521,1.0316,-0.0117,0.4226,34.3700,-102.9700,25.5500
109565,0.8711,-0.5012,-1.0521,57.8900,113.1200,-48.3700
109608,0.8335,-0.2503,-0.0166,-125.6500,-16.4500,29.8900
109651,0.8682,-0.2752,-0.5514,52.5700,14.9100,-10.1500
109695,0.9077,-0.2186,-0.3987,-21.6300,13.8600,17.2900
109738,0.9511,-0.2196,-0.0459,35.9100,-42.9100,0.4900
109782,0.8969,-0.3099,-0.7808,21.7700,33.0400,-21.9100
109825,0.9667,-0.2850,-0.0517,-8.5400,-42.2800,9.1000
109868,0.8613,-0.1474,-0.3948,10.0800,-33.2500,13.5100
109911,0.8755,-0.3684,-0.6041,78.6100,5.4600,-31.9900
109955,0.9335,-0.0727,0.0059,41.3700,-75.4600,9.1700
109998,0.7925,-0.3045,-0.4177,84.7000,-18.3400,-37.8700
110041,0.9365,-0.2406,-0.3601,-20.1600,-20.6500,-20.5800
110083,0.8696,-0.0976,-0.2982,-24.3600,-15.2600,10.7800
110126,0.8589,-0.3850,-0.7154,41.2300,45.2200,-30.8700
110169,1.0155,-0.2103,-0.1405,-2.3100,-47.8800,29.1900
110213,0.8340,-0.2137,-0.4880,63.2800,-29.1200,1.8900
110256,0.7910,-0.4148,-0.4548,31.0800,-4.4800,-30.3100
