timestamp,ax,ay,az,gx,gy,gz
26584,-0.1303,-0.0581,-1.0063,-1.0500,-4.2700,0.9100
26627,-0.1303,-0.0581,-1.0024,-0.6300,-4.3400,0.8400
26670,-0.1298,-0.0561,-1.0024,-0.2100,-4.2000,0.7700
26713,-0.1288,-0.0551,-1.0038,-0.3500,-4.2000,0.5600
26756,-0.1308,-0.0547,-1.0043,-0.1400,-4.2000,0.4900
26799,-0.1303,-0.0586,-1.0038,-0.4900,-4.2700,0.6300
26842,-0.1293,-0.0571,-1.0024,-0.7700,-4.1300,0.7000
26885,-0.1303,-0.0547,-1.0009,-0.5600,-4.1300,0.6300
26928,-0.1279,-0.0566,-1.0024,-0.2800,-4.1300,0.6300
26971,-0.1298,-0.0581,-0.9999,-0.2100,-4.2700,0.5600
27015,-0.1322,-0.0571,-0.9994,-0.4200,-3.9900,0.6300
27059,-0.1288,-0.0571,-1.0004,-0.4200,-4.2000,0.7000
27102,-0.1283,-0.0586,-1.0019,0.0700,-4.3400,0.7000
27145,-0.1308,-0.0576,-1.0019,-0.3500,-4.2700,0.6300
27188,-0.1293,-0.0586,-1.0024,-0.4900,-4.2700,0.7000
27231,-0.1264,-0.0566,-0.9999,-0.5600,-4.3400,0.7000
27274,-0.1288,-0.0551,-1.0024,-0.5600,-4.2000,0.7700
27317,-0.1283,-0.0566,-1.0014,-0.7700,-4.3400,0.5600
27361,-0.1288,-0.0576,-1.0028,-0.9800,-4.2700,0.7700
27404,-0.1283,-0.0571,-1.0014,-0.7700,-4.1300,0.7000
27447,-0.1283,-0.0547,-1.0043,-0.6300,-4.1300,0.9100
27490,-0.1288,-0.0551,-1.0014,-0.6300,-4.2700,0.5600
27533,-0.1298,-0.0561,-1.0019,-0.7000,-4.0600,0.9100
27576,-0.1293,-0.0556,-0.9999,-0.8400,-4.2700,0.7700
27620,-0.1303,-0.0571,-1.0024,-0.4200,-4.2700,0.7000
27663,-0.1298,-0.0556,-1.0004,-0.3500,-4.2700,0.6300
27706,-0.1308,-0.0571,-1.0028,-0.4200,-4.2700,0.4900
27749,-0.1303,-0.0547,-1.0028,-0.3500,-3.9900,0.5600
