timestamp,ax,ay,az,gx,gy,gz
449263,-0.1049,-0.1747,-0.9960,-3.9200,-3.9900,4.4100
449306,-0.1274,-0.0903,-1.0004,3.1500,-3.8500,5.0400
449349,-0.1220,-0.0317,-1.0102,0.7000,-4.2700,-3.4300
449392,-0.1220,-0.1386,-0.9862,-2.3100,-4.0600,-0.7000
449435,-0.1244,-0.1274,-1.0102,0.4200,-4.2000,1.0500
449479,-0.1171,-0.0439,-1.0033,-0.3500,-4.0600,0.8400
449523,-0.1186,-0.0478,-1.0043,-0.6300,-4.2700,0.6300
449566,-0.1196,-0.0468,-1.0038,-0.4900,-4.1300,0.6300
449609,-0.1176,-0.0468,-1.0038,-0.4900,-4.2700,0.4900
449652,-0.1196,-0.0473,-1.0063,-0.1400,-4.0600,0.5600
449695,-0.1181,-0.0468,-1.0038,-0.3500,-4.1300,0.5600
449739,-0.1171,-0.0488,-1.0043,-0.5600,-4.2700,0.3500
449782,-0.1181,-0.0459,-1.0077,-0.4200,-4.0600,0.5600
449825,-0.1181,-0.0464,-1.0033,-0.4200,-4.1300,0.5600
449868,-0.1186,-0.0449,-1.0043,-0.2100,-3.9900,0.9100
449911,-0.1181,-0.0459,-1.0043,-0.2800,-4.2000,0.6300
449954,-0.1200,-0.0464,-1.0053,-0.4900,-4.1300,0.7000
449997,-0.1181,-0.0459,-1.0048,-0.2800,-4.1300,0.4900
450040,-0.1161,-0.0468,-1.0024,-0.4200,-4.2000,0.6300
450083,-0.1176,-0.0459,-1.0033,-0.2100,-4.0600,0.7700
450126,-0.1186,-0.0464,-1.0048,-0.4200,-4.2000,0.6300
450169,-0.1186,-0.0483,-1.0048,-0.0700,-4.1300,0.2800
450212,-0.1191,-0.0483,-1.0033,-0.3500,-4.2700,0.3500
450255,-0.1171,-0.0454,-1.0053,-0.4200,-4.2700,0.5600
450298,-0.1171,-0.0473,-1.0043,-0.5600,-4.1300,0.4900
450342,-0.1176,-0.0473,-1.0038,-0.3500,-4.2700,0.6300
450385,-0.1196,-0.0449,-1.0067,-0.4900,-4.2700,0.6300
450429,-0.1181,-0.0449,-1.0043,-0.3500,-4.0600,0.4900
450473,-0.1186,-0.0454,-1.0043,-0.3500,-4.0600,0.5600
450517,-0.1210,-0.0478,-1.0028,-0.5600,-4.2000,0.7000
450560,-0.1171,-0.0478,-1.0033,-0.1400,-3.9900,0.4200
450604,-0.1191,-0.0473,-1.0043,-0.1400,-4.0600,0.3500
450647,-0.1171,-0.0459,-1.0019,-0.3500,-4.2000,0.4200
450690,-0.1171,-0.0464,-1.0024,-0.4900,-4.2000,0.7000
450733,-0.1176,-0.0454,-1.0028,-0.2800,-4.2000,0.8400
450776,-0.1176,-0.0464,-1.0043,-0.3500,-4.1300,0.5600
450820,-0.1157,-0.0473,-1.0048,-0.2100,-4.1300,0.3500
450864,-0.1176,-0.0473,-1.0038,-0.6300,-4.2700,0.7000
450908,-0.1200,-0.0468,-1.0053,-0.3500,-4.2000,0.4900
450952,-0.1161,-0.0473,-1.0048,-0.2100,-4.2000,0.5600
450996,-0.1171,-0.0454,-1.0024,-0.0700,-4.1300,0.4900
451039,-0.1171,-0.0464,-1.0048,-0.4200,-4.1300,0.4900
451083,-0.1176,-0.0449,-1.0063,-0.2100,-4.1300,0.5600
451126,-0.1191,-0.0468,-1.0043,-0.2100,-4.1300,0.6300
451169,-0.1181,-0.0449,-1.0053,-0.5600,-4.2700,0.6300
451213,-0.1210,-0.0478,-1.0077,-0.4900,-4.1300,0.6300
451256,-0.1186,-0.0468,-1.0053,-0.4200,-4.0600,0.9100
451299,-0.1166,-0.0459,-1.0058,-0.2800,-4.1300,0.6300
451342,-0.1186,-0.0488,-1.0063,-0.4900,-4.1300,0.7000
451386,-0.1181,-0.0464,-1.0043,-0.4200,-4.2000,0.4200
451430,-0.1181,-0.0459,-1.0048,-0.1400,-4.2000,0.3500
451473,-0.1225,0.0210,-0.9892,-3.9200,-4.2000,-4.0600
451516,-0.1303,-0.0708,-0.9872,-1.7500,-3.8500,4.7600
451560,-0.1288,0.0498,-1.0063,1.5400,-4.0600,1.8200
451603,-0.1098,0.0932,-1.0233,15.4000,-4.2000,-2.1000
451646,-0.1054,0.0283,-1.0043,-3.9200,-4.0600,-3.9900
451690,-0.1249,-0.0854,-0.9828,-2.5900,-3.9900,-2.2400
451733,-0.1308,0.0112,-1.0072,0.4200,-3.9900,2.9400
451777,-0.1161,0.0898,-1.0180,2.6600,-4.2700,-0.9100
451821,-0.1054,0.0600,-1.0160,2.8700,-4.4100,-3.6400
451864,-0.1259,-0.0444,-0.9819,-3.2900,-4.1300,-3.1500
451907,-0.1337,-0.0332,-0.9955,-0.8400,-4.0600,3.9200
451951,-0.1259,0.0747,-1.0067,1.9600,-4.2000,0.7700
451994,-0.1074,0.0859,-1.0209,-3.0800,-4.3400,-2.9400
452037,-0.1098,-0.0449,-0.9906,-3.5000,-3.8500,4.5500
452081,-0.1293,-0.0800,-0.9862,-1.9600,-3.9200,4.7600
452125,-0.1318,0.0415,-1.0048,1.1200,-4.1300,2.0300
452168,-0.1142,0.0927,-1.0019,2.8700,-4.2700,-1.5400
452212,-0.1113,0.0361,-1.0009,1.9600,-4.3400,-3.5700
452255,-0.1264,-0.0688,-0.9833,-2.7300,-4.4100,-2.7300
452299,-0.1098,-0.1674,-1.0004,-0.1400,-4.2000,0.8400
452342,-0.1220,-0.1757,-1.0048,2.3100,-4.2000,4.0600
452385,-0.1064,0.0712,-1.0160,2.7300,-4.3400,-3.2200
452429,-0.1225,-0.0268,-0.9887,0.7000,-4.3400,-3.3600
452473,-0.1215,-0.1415,-0.9916,-1.8200,-4.1300,-0.7000
452516,-0.1025,-0.1854,-1.0082,1.6100,-4.2700,3.1500
452559,-0.1103,0.0883,-1.0028,3.1500,-4.3400,-2.4500
452603,-0.1176,0.0156,-1.0063,1.5400,-4.2000,-3.5700
452646,-0.1259,-0.1015,-0.9862,-1.8900,-4.3400,-1.9600
452689,-0.1347,-0.2264,-1.0038,1.0500,-4.0600,2.4500
452732,-0.1171,0.0839,-1.0228,2.5200,-4.2700,-0.9100
452776,-0.1093,0.0537,-1.0126,2.5900,-4.3400,-3.5700
452819,-0.1186,-0.0527,-0.9858,-3.0800,-3.8500,-3.2200
452862,-0.1352,-0.0249,-0.8828,-0.7000,-4.0600,3.8500
452906,-0.1249,0.0712,-1.0180,2.0300,-4.2000,0.4200
452949,-0.1054,0.0054,-1.0126,-0.7000,-4.1300,0.2800
452992,-0.1225,-0.0459,-1.0063,-0.4900,-4.2700,0.7000
453036,-0.1176,-0.0473,-1.0058,-0.5600,-4.0600,0.7000
453079,-0.1171,-0.0464,-1.0058,-0.2800,-4.0600,0.6300
453122,-0.1181,-0.0478,-1.0033,-0.3500,-4.4100,0.4900
453165,-0.1191,-0.0464,-1.0058,-0.5600,-4.2700,0.5600
453208,-0.1166,-0.0454,-1.0033,-0.5600,-4.1300,0.7000
453251,-0.1186,-0.0454,-1.0053,-0.2800,-4.1300,0.3500
453294,-0.1181,-0.0454,-1.0033,-0.2100,-4.1300,0.4200
453337,-0.1176,-0.0454,-1.0048,-0.4200,-4.1300,0.4200
453380,-0.1186,-0.0464,-1.0053,-0.4900,-4.2700,0.5600
453424,-0.1176,-0.0459,-1.0024,-0.4200,-4.2000,0.4200
453467,-0.1171,-0.0468,-1.0053,-0.3500,-4.2000,0.7000
453510,-0.1171,-0.0464,-1.0033,-0.4200,-4.2000,0.4900
453553,-0.1186,-0.0454,-1.0038,-0.6300,-4.2700,0.5600
453597,-0.1186,-0.0454,-1.0033,-0.3500,-4.2000,0.4900
453640,-0.1166,-0.0459,-1.0019,-0.4200,-3.9200,0.5600
453684,-0.1176,-0.0468,-1.0038,-0.2800,-4.0600,0.6300
453727,-0.1176,-0.0454,-1.0048,-0.3500,-4.2000,0.7000
453770,-0.1171,-0.0459,-1.0009,-0.3500,-4.0600,0.6300
453813,-0.1186,-0.0478,-1.0043,-0.2800,-4.1300,0.5600
453856,-0.1166,-0.0483,-1.0028,-0.3500,-4.1300,0.7000
453899,-0.1166,-0.0449,-1.0014,-0.4900,-4.0600,0.6300
453942,-0.1171,-0.0468,-1.0043,-0.3500,-4.1300,0.4900
453985,-0.1176,-0.0449,-1.0043,-0.4200,-4.2000,0.5600
454028,-0.1161,-0.0478,-1.0038,-0.3500,-4.2700,0.4900
454072,-0.1176,-0.0464,-1.0048,-0.2800,-4.2000,0.6300
454115,-0.1196,-0.0449,-1.0053,-0.2100,-4.0600,0.5600
454158,-0.1171,-0.0473,-1.0048,-0.4900,-4.2000,0.6300
454202,-0.1181,-0.0449,-1.0082,-0.3500,-4.0600,0.4900
454245,-0.1142,-0.0468,-1.0043,-0.5600,-4.0600,0.7000
454288,-0.1161,-0.0449,-1.0048,-0.4900,-3.9900,0.5600
454331,-0.1171,-0.0449,-1.0043,-0.5600,-4.1300,0.6300
454375,-0.1181,-0.0468,-1.0063,-0.6300,-4.2700,0.7000
454417,-0.1171,-0.0473,-1.0024,-0.2100,-4.0600,0.8400
454460,-0.1181,-0.0464,-1.0063,-0.3500,-4.3400,0.6300
454504,-0.1161,-0.0459,-1.0038,-0.4900,-4.2700,0.8400
454547,-0.1200,-0.0478,-1.0038,-0.6300,-3.9200,0.8400
454590,-0.1191,-0.0468,-1.0092,-0.4200,-4.1300,0.6300
454633,-0.1200,-0.0468,-1.0063,-0.0700,-4.2700,0.4900
454677,-0.1171,-0.0468,-1.0053,-0.2800,-4.2000,0.4900
454720,-0.1176,-0.0493,-1.0028,-0.4900,-4.2000,0.6300
454764,-0.1176,-0.0464,-1.0063,-0.2100,-4.2000,0.6300
454807,-0.1181,-0.0459,-1.0067,-0.2800,-3.9900,0.5600
454850,-0.1181,-0.0459,-1.0038,-0.4900,-4.0600,0.6300
454894,-0.1176,-0.0459,-1.0063,-0.4900,-4.2000,0.7000
454937,-0.1210,-0.0542,-1.0028,0.0000,-4.2000,1.8200
454981,-0.1166,-0.1952,-1.0053,1.7500,-4.2000,5.1800
455025,-0.1113,-0.1303,-0.9980,3.0800,-4.3400,4.9000
455068,-0.1215,0.0146,-0.9955,1.4000,-4.2700,-3.5000
455111,-0.1244,-0.0971,-0.9882,-1.6800,-3.9200,-0.4200
455154,-0.1293,0.0185,-1.0004,0.6300,-3.9200,2.5900
455197,-0.1137,0.0776,-1.0243,-1.5400,-4.3400,-1.1900
455240,-0.1005,0.0468,-1.0063,-3.0100,-3.9900,-15.1200
455284,-0.1191,-0.0483,-0.9838,-2.8700,-3.9900,-13.4400
455328,-0.1298,-0.1430,-0.9955,-0.6300,-3.9200,3.6400
455371,-0.1196,0.0615,-1.0214,1.8200,-4.2000,0.4200
455414,-0.1054,0.0693,-1.0170,-3.0100,-4.1300,-2.3100
455458,-0.2372,-0.0073,-0.9877,-3.1500,-3.9200,-3.0800
455500,-0.1254,-0.0708,-0.9887,-1.5400,-3.9200,4.2700
455543,-0.1240,0.0415,-1.0136,0.3500,-4.2000,1.6800
455587,-0.1113,0.0781,-1.0228,-2.0300,-4.3400,-2.1000
455630,-0.1054,-0.1737,-0.9989,-3.7100,-3.9900,3.6400
455674,-0.1230,-0.1083,-0.9862,-2.1000,-3.9200,4.4800
455717,-0.1269,0.0059,-1.0111,-16.8000,-4.0600,2.8700
455760,-0.1196,0.0800,-1.0204,-1.2600,-4.1300,-0.7700
455804,-0.1059,0.0561,-1.0131,-3.1500,-3.9900,-3.4300
455848,-0.1191,-0.0410,-0.9843,-2.8000,-3.9900,-2.9400
455891,-0.1293,-0.0317,-1.0087,-1.0500,-4.1300,3.9900
455934,-0.1225,0.0703,-1.0204,-0.3500,-4.0600,0.4200
455978,-0.1088,0.0737,-1.0209,-2.8000,-4.0600,-2.8000
456022,-0.1220,0.0024,-0.9941,-3.5700,-3.9900,-3.5700
456065,-0.1288,-0.0756,-0.9892,-1.6100,-3.9200,4.6900
456108,-0.1288,0.0376,-1.0175,0.4200,-4.2700,2.0300
456151,-0.1161,0.0800,-1.0233,-1.8900,-4.2000,-0.2800
456194,-0.1035,-0.1791,-1.0043,-3.1500,-3.9900,3.0800
456237,-0.1103,-0.1176,-0.9989,2.4500,-4.2700,4.9700
456281,-0.1220,0.0000,-1.0102,1.2600,-4.4800,3.2200
456325,-0.1249,0.0732,-1.0204,-0.9800,-4.2700,-0.2800
456369,-0.1064,0.0644,-1.0170,-2.9400,-4.0600,-3.1500
456413,-0.1161,-0.0264,-0.9848,-3.2900,-4.2000,-3.0800
456456,-0.1322,-0.0405,-1.0004,-2.2400,-4.1300,2.6600
456500,-0.1186,-0.0473,-1.0048,-0.4900,-4.2000,0.7700
456542,-0.1196,-0.0473,-1.0058,-0.5600,-4.2700,0.6300
456585,-0.1161,-0.0454,-1.0028,-0.3500,-4.2700,0.5600
456628,-0.1186,-0.0464,-1.0043,-0.4900,-4.2000,0.6300
456671,-0.1196,-0.0454,-1.0028,-0.4900,-4.2000,0.5600
456715,-0.1181,-0.0468,-1.0048,-0.4900,-4.2700,0.5600
456759,-0.1196,-0.0478,-1.0048,-0.3500,-4.1300,0.4900
456802,-0.1215,-0.0468,-1.0024,-0.4900,-4.0600,0.4200
456845,-0.1166,-0.0464,-1.0033,-0.2800,-4.3400,0.5600
456888,-0.1205,-0.0454,-1.0009,-0.2800,-4.1300,0.6300
456932,-0.1176,-0.0459,-1.0048,-0.4200,-4.1300,0.6300
456975,-0.1181,-0.0468,-1.0028,-0.3500,-4.2700,0.5600
457019,-0.1161,-0.0454,-1.0058,-0.4200,-4.1300,0.4900
457062,-0.1200,-0.0459,-1.0014,-0.4200,-3.9900,0.6300
457105,-0.1186,-0.0478,-1.0053,-0.4200,-4.2700,0.7000
457148,-0.1181,-0.0468,-1.0028,-0.6300,-4.2700,0.6300
457191,-0.1186,-0.0459,-1.0043,-0.6300,-4.2700,0.7000
457234,-0.1171,-0.0478,-1.0048,-0.5600,-4.2700,0.8400
457277,-0.1171,-0.0478,-1.0058,-0.1400,-4.2000,0.4200
457320,-0.1196,-0.0454,-1.0043,-0.0700,-4.1300,0.4200
457363,-0.1215,-0.0473,-1.0063,-0.5600,-4.2000,0.5600
457406,-0.1161,-0.0464,-1.0024,-0.2800,-4.1300,0.4900
457450,-0.1196,-0.0464,-1.0038,-0.4200,-4.2000,0.6300
457493,-0.1176,-0.0473,-1.0024,-0.4900,-4.1300,0.6300
457536,-0.1191,-0.0468,-1.0063,-0.1400,-4.0600,0.3500
457579,-0.1181,-0.0473,-1.0038,-0.5600,-4.1300,0.7700
457622,-0.1157,-0.0464,-1.0033,-0.5600,-4.2700,0.6300
457666,-0.1196,-0.0464,-1.0048,-0.2100,-4.1300,0.4200
457708,-0.1191,-0.0449,-1.0033,-0.0700,-4.2000,0.3500
457751,-0.1186,-0.0473,-1.0058,-0.5600,-4.2700,0.6300
457794,-0.1186,-0.0473,-1.0043,-0.3500,-3.9900,0.4900
457838,-0.1196,-0.0488,-1.0063,-0.5600,-4.4100,0.7700
457882,-0.1196,-0.0468,-1.0043,-0.3500,-4.0600,0.6300
457925,-0.1171,-0.0473,-1.0048,-0.2800,-4.0600,0.5600
457968,-0.1181,-0.0483,-1.0033,-0.2800,-4.2000,0.4900
458011,-0.1171,-0.0478,-1.0028,-0.3500,-4.1300,0.6300
458054,-0.1191,-0.0454,-1.0043,-0.4200,-4.1300,0.6300
458098,-0.1186,-0.0454,-1.0033,-0.2100,-4.1300,0.5600
458141,-0.1181,-0.0473,-1.0048,-0.3500,-4.1300,0.5600
458184,-0.1161,-0.0478,-1.0048,-0.4900,-4.2000,0.9100
458228,-0.1176,-0.0459,-1.0058,-0.2100,-4.1300,0.4200
458272,-0.1186,-0.0488,-1.0024,-0.7000,-4.2000,0.6300
458315,-0.1171,-0.0488,-1.0058,-0.2100,-4.1300,0.5600
458359,-0.1186,-0.0454,-1.0038,-0.2800,-4.1300,0.4900
458403,-0.1171,-0.0464,-1.0053,-0.4900,-4.1300,0.5600
458446,-0.1181,-0.0473,-1.0033,-0.5600,-4.2000,0.7000
458489,-0.1264,0.0561,-1.0043,2.2400,-4.2700,-3.7800
458532,-0.1230,-0.1181,-0.9897,-1.6100,-4.2000,-1.1900
458575,-0.1244,-0.1762,-1.0019,0.7000,-4.3400,2.7300
