timestamp,ax,ay,az,gx,gy,gz
210262,-1.3498,0.2884,-0.3504,56.9800,-45.4300,-62.5800
210306,-1.1966,0.2113,-0.2333,34.3000,-12.9500,-12.6000
210350,-1.2830,0.2362,-0.3880,59.1500,-31.0800,1.2600
210394,-1.2288,0.1566,-0.3148,14.0000,58.4500,74.1300
210438,-1.2434,0.0273,-0.1103,-8.4000,106.6100,62.5100
210482,-1.3269,0.0532,-0.0093,4.2700,103.8800,-5.4600
210526,-1.2673,0.1854,-0.0366,20.7200,94.0100,-22.5400
210570,-1.2019,0.2508,-0.0722,19.1800,101.0800,29.4000
210614,-1.1117,0.1425,-0.0015,5.8800,134.8200,72.8000
210658,-0.9921,0.0346,0.0859,8.6100,167.8600,77.7700
210702,-0.8623,-0.0229,0.2191,18.9700,172.2000,47.2500
210746,-0.7388,-0.0688,0.2899,30.5200,120.6800,-5.1100
210789,-0.6920,-0.0264,0.2796,58.1000,39.1300,-65.5200
210833,-0.5880,0.0307,0.1664,40.8800,-42.3500,-50.6100
210876,-0.7471,0.0039,0.1215,12.9500,-124.6000,-19.2500
210920,-0.8662,0.0659,-0.0874,18.0600,-185.5000,-11.3400
210964,-0.9648,0.0888,-0.2172,32.4100,-166.5300,10.9900
211008,-1.0760,0.0420,-0.1796,13.0900,-123.1300,30.3100
211052,-1.2620,-0.0088,-0.0473,7.9800,-118.7900,-2.4500
211095,-1.3967,0.0425,-0.1161,41.3000,-139.6500,-39.4800
211139,-1.3278,0.0961,-0.2806,66.0100,-179.3400,-12.6000
211183,-1.4289,0.0888,-0.4616,36.1900,-185.9900,39.6200
211227,-1.3205,0.0664,-0.6012,12.1100,-64.6100,25.0600
211271,-1.1849,0.0937,-0.3406,30.5200,69.0900,-15.4700
211315,-1.1102,0.1825,-0.1186,18.8300,82.0400,-26.1100
211359,-1.0516,0.3933,-0.0776,-13.5100,50.4700,27.0900
211403,-1.1131,0.2733,-0.0073,-35.4200,56.0000,117.7400
211447,-0.9589,0.0259,-0.0015,18.2700,79.0300,83.2300
211491,-0.9052,-0.0815,-0.0024,42.9100,76.3700,-31.2900
211535,-0.9096,-0.0029,-0.0254,57.3300,80.6400,-147.7700
211579,-0.9374,0.1376,0.0132,42.4900,86.3100,-168.9800
211623,-0.8418,0.1859,0.0795,22.8900,78.3300,-111.3000
211666,-0.7496,0.0576,0.0029,-64.6100,28.9100,20.5100
211709,-0.8657,0.0268,0.0947,43.7500,-13.7200,-68.1100
211752,-0.8023,0.0044,-0.0015,46.1300,-50.7500,-21.9100
211796,-0.8696,-0.0639,-0.0063,11.7600,-70.4900,24.7100
211840,-0.9838,-0.0639,-0.0176,-5.9500,-105.7000,33.1100
211884,-1.1756,0.0293,-0.1098,-10.4300,-146.2300,32.7600
211928,-1.4367,0.0659,-0.1869,3.9200,-136.8500,50.6800
211972,-1.3435,0.0390,-0.2547,-13.7200,-107.0300,72.1700
212016,-1.4596,0.0791,-0.3977,21.4200,-119.4200,14.9800
212060,-1.3322,0.1952,-0.5427,38.6400,0.0000,14.8400
212104,-1.2703,0.1342,-0.1752,15.0500,157.5700,41.7900
212148,-1.3054,0.1196,0.1083,-2.6600,172.7600,45.2200
