timestamp,ax,ay,az,gx,gy,gz
681353,0.1069,-0.0176,-0.9897,0.2100,1.0500,0.7700
681363,0.1064,-0.0195,-0.9687,-1.4000,0.1400,1.1900
681373,0.1049,-0.0210,-0.9609,0.5600,0.6300,0.9800
681383,0.1044,-0.0195,-0.9687,1.8200,0.5600,0.7700
681393,0.1059,-0.0185,-0.9804,1.8200,0.6300,0.9100
681403,0.1074,-0.0205,-0.9780,0.4900,0.4900,0.8400
681413,0.1064,-0.0200,-0.9706,0.0700,0.4900,0.7700
681423,0.1049,-0.0210,-0.9658,0.7700,0.4200,0.8400
681433,0.1049,-0.0205,-0.9697,1.4700,0.4200,0.7700
681443,0.1049,-0.0195,-0.9740,1.4000,0.4200,0.7700
681453,0.1069,-0.0200,-0.9721,0.7700,0.3500,0.9100
681463,0.1044,-0.0210,-0.9677,0.6300,0.2800,0.7700
681473,0.1064,-0.0205,-0.9677,0.9800,0.4200,0.9100
681483,0.1054,-0.0220,-0.9706,1.1900,0.4200,0.8400
681493,0.1044,-0.0190,-0.9726,1.1200,0.4900,0.9100
681502,0.1039,-0.0195,-0.9731,0.9100,0.4900,0.8400
681513,0.1049,-0.0195,-0.9701,0.8400,0.5600,0.8400
681523,0.1039,-0.0205,-0.9721,0.8400,0.6300,0.9100
681533,0.1039,-0.0205,-0.9716,1.0500,0.7700,0.8400
681542,0.1049,-0.0220,-0.9726,0.9800,0.7700,0.8400
681553,0.1054,-0.0205,-0.9716,0.9100,0.8400,0.9100
681563,0.1049,-0.0215,-0.9692,0.9800,0.7700,0.8400
681573,0.1069,-0.0200,-0.9726,1.0500,0.8400,0.9100
681583,0.1064,-0.0210,-0.9736,0.9100,0.8400,0.8400
681593,0.1069,-0.0200,-0.9721,0.8400,0.7000,0.8400
681603,0.1044,-0.0195,-0.9721,0.8400,0.7700,0.9100
681613,0.1039,-0.0229,-0.9731,1.0500,0.7700,0.9100
681623,0.1039,-0.0195,-0.9731,1.0500,0.8400,0.9100
681633,0.1049,-0.0195,-0.9716,0.8400,0.8400,0.9100
681643,0.1054,-0.0185,-0.9692,0.8400,0.8400,0.8400
681653,0.1064,-0.0181,-0.9726,0.9100,0.7700,0.7700
681663,0.1049,-0.0210,-0.9736,0.9100,0.7700,0.7700
681673,0.1049,-0.0210,-0.9721,0.9100,0.7700,0.7000
681683,0.1054,-0.0200,-0.9736,1.0500,0.7700,0.9100
681693,0.1044,-0.0190,-0.9740,0.9800,0.7000,0.9100
681703,0.1059,-0.0190,-0.9716,0.8400,0.7000,0.9800
681713,0.1039,-0.0200,-0.9706,0.9100,0.7700,0.9100
681723,0.1035,-0.0190,-0.9697,0.9800,0.7700,0.8400
681733,0.1039,-0.0181,-0.9697,0.8400,0.7000,0.9100
681743,0.1074,-0.0195,-0.9716,0.9100,0.8400,0.7700
681752,0.1039,-0.0205,-0.9716,0.8400,0.8400,0.8400
681763,0.1054,-0.0205,-0.9697,0.9100,0.8400,0.7700
681773,0.1044,-0.0224,-0.9721,0.9800,0.7000,0.9100
681783,0.1044,-0.0205,-0.9697,0.9100,0.7700,0.8400
681792,0.1064,-0.0190,-0.9755,0.9100,0.8400,0.9100
681803,0.1069,-0.0210,-0.9726,0.9800,0.7700,0.8400
681813,0.1049,-0.0195,-0.9711,0.9100,0.8400,0.9100
681823,0.1064,-0.0210,-0.9716,0.9800,0.7700,0.8400
681833,0.1039,-0.0190,-0.9692,0.9100,0.7000,0.8400
681843,0.1054,-0.0181,-0.9726,0.8400,0.7700,0.9100
681853,0.1069,-0.0210,-0.9716,0.8400,0.7700,0.8400
681863,0.1054,-0.0205,-0.9711,1.0500,0.7700,0.8400
681873,0.1049,-0.0190,-0.9726,0.9800,0.7000,0.9800
681883,0.1039,-0.0195,-0.9721,0.8400,0.7000,0.7700
681893,0.1064,-0.0195,-0.9711,0.9100,0.7700,0.7700
681903,0.1054,-0.0210,-0.9706,0.9800,0.8400,0.9800
681913,0.1044,-0.0185,-0.9716,1.0500,0.7000,0.8400
681923,0.1064,-0.0205,-0.9692,0.9100,0.7700,0.8400
681933,0.1030,-0.0200,-0.9726,0.9800,0.7700,0.8400
